item_id,reviews_rating_levels.one_star,reviews_rating_levels.five_star,reviews_rating_levels.three_star,reviews_paging.total,reviews_rating_average,reviews_rating_levels.four_star,reviews_rating_levels.two_star
MLA663213659,0.0,12.0,2.0,30.0,4.3,15.0,1.0
MLA897947872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA867240912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897946944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897956071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA826943825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA863767834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA752633968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA884086980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA874909187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897952230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA868055967,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142768,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA898731619,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142706,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897956961,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953982,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897956917,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897947051,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA886590965,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953260,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766184,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897944657,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142810,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765442,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942853,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765445,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897947144,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA899827340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945679,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942674,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA898699634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942723,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897954088,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766186,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897946608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897955367,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897947521,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897947956,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897947555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897952644,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897955963,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953939,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA670513755,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA903304030,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897946846,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA898899163,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764851,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766189,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945654,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA902774090,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA902774954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897954876,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897954913,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA898700078,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA903304021,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA903304026,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA903304029,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901470197,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901470514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA896876093,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942617,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953416,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897944690,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897955244,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765424,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA899074419,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA899082358,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA896875117,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953914,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897956137,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766149,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA900644213,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA896897813,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897956048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901292048,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA902626916,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA754985608,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764837,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766171,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA898727312,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765438,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881145044,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA867242683,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143895,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901291842,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901291900,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765440,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901292365,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA900687782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897907528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA901292425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897909525,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897911874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897926533,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142329,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142327,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA904258618,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142342,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142433,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA896875118,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142340,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143381,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142410,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143960,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143519,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764815,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897946207,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143973,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766195,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764828,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765449,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143514,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881144025,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881144032,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143489,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765446,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897943788,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143528,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881144494,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA896875119,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897953640,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897957954,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143456,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143955,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143987,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897942576,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897948323,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141777,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143502,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143947,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA863067621,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764829,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764838,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765372,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765432,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765434,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766166,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897950106,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897950139,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA902652697,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141750,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141773,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141790,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881141792,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142256,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881142408,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143239,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA881143249,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764858,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897764859,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897765436,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766162,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766179,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897766183,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897944872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945874,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897945938,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897948173,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897949062,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897949238,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897950181,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897954425,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897955478,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MLA897955852,0.0,0.0,0.0,0.0,0.0,0.0,0.0
