id,initial_quantity,original_price,accepts_mercadopago,base_price,seller_address.country.name,listing_type_id,start_time,buying_mode,price,warranty,available_quantity,tags,status,seller_address.state.name,health,catalog_product_id,seller_id,category_id,title,condition,sold_quantity,official_store_id,domain_id,item_id
MLA832834395,5231,,True,5700.0,Argentina,gold_special,2020-01-03T11:56:29.000Z,buy_it_now,5700.0,Garantía del vendedor: 12 meses,500,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA13841393,255318143,MLA352001, Google Chromecast 3rd Generation  Full Hd  Carbón,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA832834395
MLA903487324,1015,,True,14800.0,Argentina,gold_special,2021-01-07T19:50:48.000Z,buy_it_now,14800.0,Garantía del vendedor: 3 meses,500,"['good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA16233185,284824585,MLA352001, Chromecast With Google Tv  De Voz 4k 8gb  Snow Con Memoria Ram De 2gb,new,5,,MLA-STREAMING_MEDIA_DEVICES,MLA903487324
MLA832082627,784,,True,5799.0,Argentina,gold_special,2019-12-27T21:33:05.000Z,buy_it_now,5799.0,,1,"['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA6125039,70470402,MLA352001, Google Chromecast 2nd Generation  Full Hd 256mb  Negro Con Memoria Ram De 512mb,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA832082627
MLA898700662,57,,True,14200.0,Argentina,gold_special,2020-11-25T14:11:57.000Z,buy_it_now,14200.0,Garantía del vendedor: 3 meses,1,"['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,,MLA6304839,309453406,MLA352001, Google Chromecast Ultra  4k  Negro Con Memoria Ram De 1gb,new,25,,MLA-STREAMING_MEDIA_DEVICES,MLA898700662
MLA871703477,50,,True,4999.0,Argentina,gold_special,2020-08-04T19:43:43.000Z,buy_it_now,4999.0,,1,"['brand_verified', 'good_quality_picture', 'immediate_payment']",active,Capital Federal,,MLA6125043,143125485,MLA352001, Google Chromecast 1st Generation H2g2-42  Full Hd 2gb  Negro Con Memoria Ram De 512mb,new,25,229,MLA-STREAMING_MEDIA_DEVICES,MLA871703477
MLA782706781,6225,,True,5749.0,Argentina,gold_special,2019-04-22T15:38:33.000Z,buy_it_now,5749.0,Garantía de fábrica: 1 años,1,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.88,MLA13841392,69526727,MLA352001,Google Chromecast 3 Generacion Nuevo En Caja Hdmi C/ Fuente,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA782706781
MLA759895787,3083,,True,5709.0,Argentina,gold_special,2018-11-26T17:57:06.000Z,buy_it_now,5709.0,Garantía del vendedor: 12 meses,500,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA13841393,86898163,MLA352001,Google Chromecast 3 Generacion Smart Tv Original + Fuente,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA759895787
MLA681084500,6268,,True,5739.0,Argentina,gold_special,2017-08-31T18:17:03.000Z,buy_it_now,5739.0,Garantía del vendedor: 6 meses,250,"['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.83,MLA13841392,255318143,MLA352001,Google Chromecast 3 Smart Tv Hdmi Usb Nuevo Modelo Gtia ,new,500,,MLA-STREAMING_MEDIA_DEVICES,MLA681084500
MLA886510335,357,17999,True,16299.0,Argentina,gold_special,2020-11-02T20:16:28.000Z,buy_it_now,16299.0,Garantía del vendedor: 3 meses,1,"['loyalty_discount_eligible', 'brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.8,MLA16233184,119914491,MLA352001,Google Chromecast Con Google Tv 4k Hdmi Streaming Android Tv,new,258,,MLA-STREAMING_MEDIA_DEVICES,MLA886510335
MLA897609943,615,,True,14999.0,Argentina,gold_special,2020-11-17T18:13:55.000Z,buy_it_now,14999.0,Garantía del vendedor: 6 meses,250,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",active,Capital Federal,0.9,MLA16233184,153491318,MLA352001,Chromecast 4ta Generacion Con Google Tv + Control Remoto ,new,250,,MLA-STREAMING_MEDIA_DEVICES,MLA897609943
