item_id,questions_total
MLA865606925,272.0
MLA902168595,21.0
MLA865569740,
MLA871311137,39.0
MLA903181331,4.0
MLA896864876,
MLA831825009,
MLA903404556,6.0
MLA896870097,
MLA897147605,41.0
MLA885869161,16.0
MLA902033509,22.0
MLA900886052,27.0
MLA902102999,
MLA899797530,
MLA844157293,
MLA900570213,6.0
MLA837480456,
MLA878673136,
MLA904510711,0.0
MLA900491668,510.0
MLA885848688,
MLA903779886,11.0
MLA896352575,1410.0
MLA896353418,919.0
MLA898866036,62.0
MLA896352574,138.0
MLA896352576,
MLA904219481,7.0
MLA903632138,
MLA832834395,979.0
MLA903487324,13.0
MLA832082627,91.0
MLA898700662,32.0
MLA782706781,
MLA759895787,
MLA681084500,3649.0
MLA886510335,198.0
MLA897609943,
MLA856774527,
MLA855055612,
MLA879479401,16.0
MLA813103277,726.0
MLA879933423,
MLA885889339,464.0
MLA834652518,
MLA884925033,493.0
MLA895890603,
MLA845307107,943.0
MLA897829960,
