user_id,users_user_type,users_seller_reputation.transactions.completed,users_seller_reputation.level_id,users_seller_reputation.power_seller_status,users_nickname,users_seller_reputation.transactions.canceled,users_seller_reputation.transactions.ratings.positive,users_seller_reputation.transactions.ratings.neutral,users_seller_reputation.transactions.ratings.negative,users_tags
255318143,normal,19507.0,5_green,platinum,LMS-TIENDAVIRTUAL,893.0,0.96,0.02,0.02,
284824585,normal,16640.0,5_green,platinum,SKY.VISION ELECTRONICA,1698.0,0.93,0.02,0.05,
70470402,normal,2216.0,5_green,platinum,COOL-TECH--,94.0,0.98,0.01,0.01,
309453406,normal,25641.0,5_green,platinum,BAZA 10,2557.0,0.94,0.02,0.04,
143125485,brand,75345.0,3_yellow,,FRAVEGA,5257.0,0.9,0.06,0.04,
69526727,normal,28114.0,5_green,platinum,ELECTRONIC-MARKET,1461.0,0.96,0.02,0.02,
86898163,normal,27360.0,5_green,platinum,OFERTAS INFORMATICAS,1414.0,0.98,0.01,0.01,
119914491,normal,16740.0,5_green,platinum,GAMESTATION ARG,1879.0,0.95,0.02,0.03,
153491318,normal,13360.0,5_green,platinum,DELLOREAN,809.0,0.98,0.01,0.01,
183212103,brand,13391.0,3_yellow,,PEROZZI_E_HIJO,1491.0,0.93,0.03,0.04,
156434130,normal,7.0,4_light_green,,MONICATORREZ564,7.0,1.0,0.0,0.0,
6778245,normal,15.0,5_green,,PAVONELLI,1.0,1.0,0.0,0.0,
79599554,normal,73.0,5_green,,VERKOFELECTRONICS,4.0,1.0,0.0,0.0,
184895209,normal,491.0,5_green,silver,WANDERBOI,21.0,0.98,0.02,0.0,
304248120,normal,15616.0,5_green,,ZELUCASH ARG,2784.0,0.92,0.03,0.05,
216203805,normal,16809.0,5_green,platinum,HYT.COM.AR,1363.0,0.97,0.01,0.02,
98247283,normal,861.0,5_green,silver,SOLO OPORTUNIDADES!!,111.0,0.99,0.01,0.0,
608846165,brand,189195.0,5_green,platinum,ELECTRONICAFLA,8429.0,0.9,0.03,0.07,
287440338,brand,17746.0,5_green,platinum,TIENDA DIGGIT,1061.0,0.95,0.02,0.03,
79076726,normal,75.0,5_green,,GAPRIM,1.0,1.0,0.0,0.0,
172753273,normal,30795.0,5_green,platinum,DEVENTAS_TECH_STORE,1917.0,0.99,0.0,0.01,
174667217,normal,3443.0,5_green,platinum,TOPE HOGAR,238.0,0.97,0.01,0.02,
20925373,normal,15804.0,5_green,platinum,BIP BIP_REGALOS,901.0,0.98,0.01,0.01,
44778367,normal,7689.0,5_green,platinum,EAGLETECHNOLOGY,436.0,0.99,0.0,0.01,
5276693,normal,2667.0,5_green,platinum,HARLEM,249.0,0.97,0.02,0.01,
158169010,normal,4418.0,5_green,platinum,COATI DIGITAL,358.0,0.98,0.01,0.01,
225480741,normal,4413.0,5_green,platinum,MLSERCOFIN,333.0,1.0,0.0,0.0,
53644240,normal,621.0,5_green,silver,TRICU3O,31.0,0.99,0.01,0.0,
337885694,normal,22.0,5_green,,FLP8381,3.0,0.99,0.01,0.0,
180214913,brand,24262.0,5_green,platinum,EXO SA,1995.0,0.94,0.02,0.04,
417972986,brand,305771.0,5_green,platinum,TEMAKLAARG,14211.0,0.96,0.01,0.03,
25704919,normal,46971.0,5_green,platinum,ELECTRO-SHOWS,5506.0,0.96,0.01,0.03,
174556876,normal,406501.0,5_green,platinum,OVERHARD DIGITAL,27673.0,0.94,0.03,0.03,
215299808,normal,121986.0,5_green,platinum,MALL WEB,6487.0,0.95,0.02,0.03,
260474743,brand,11575.0,5_green,platinum,TIENDAOFICIALHP-DM,606.0,0.96,0.02,0.02,
37133205,brand,148138.0,5_green,platinum,SALES COM,9328.0,0.97,0.01,0.02,
