product_id,product_name,product_sold_quantity,product_domain_id
MLA16189144,Lenovo IdeaPad 3,0.0,MLA-NOTEBOOKS
MLA15261472,Lenovo IdeaPad S145-15AST,0.0,MLA-NOTEBOOKS
MLA15252017,Lenovo IdeaPad 130-15AST,0.0,MLA-NOTEBOOKS
MLA16041757,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA16041756,Lenovo IdeaPad 3 15IIL05,0.0,MLA-NOTEBOOKS
MLA15280170,Lenovo IdeaPad 330-15AST,0.0,MLA-NOTEBOOKS
MLA16029713,Lenovo IdeaPad 1 14IGL05,0.0,MLA-NOTEBOOKS
MLA15698354,Lenovo IdeaPad S145-15IIL - Platinum gray - 8 GB - 1 TB - 1366 px x 768 px - Intel Iris Plus Graphics - Intel - Core i5 - 1035G4 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA15738290,Lenovo IdeaPad S340-15API,0.0,MLA-NOTEBOOKS
MLA15349660,Lenovo IdeaPad Slim 1 1-14AST-05,0.0,MLA-NOTEBOOKS
MLA15698353,Lenovo IdeaPad S145-15IIL,0.0,MLA-NOTEBOOKS
,,,
MLA15253903,Lenovo IdeaPad S340,0.0,MLA-NOTEBOOKS
MLA15261473,Lenovo IdeaPad S145-15AST - Negro - 4 GB - 500 GB - 1366 px x 768 px - AMD Radeon R4 - AMD - A6-Series - 9225 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA15280167,Lenovo IdeaPad 330-15IGM,0.0,MLA-NOTEBOOKS
MLA15262067,Lenovo IdeaPad S145-14IGM,0.0,MLA-NOTEBOOKS
MLA16053933,Lenovo IdeaPad 3 14ADA05,0.0,MLA-NOTEBOOKS
MLA15248654,Lenovo IdeaPad S340-15IWL,0.0,MLA-NOTEBOOKS
MLA16056912,Lenovo IdeaPad S145-14IWL,0.0,MLA-NOTEBOOKS
MLA16205314,Lenovo IdeaPad 5,0.0,MLA-NOTEBOOKS
MLA15740782,Lenovo IdeaPad Flex-15IWL,0.0,MLA-NOTEBOOKS
MLA15979279,Lenovo IdeaPad L340-15IRH - Granite black - 8 GB - 1 TB - 1920 px x 1080 px - NVIDIA GeForce GTX 1050 - Intel - Core i5 - 9300H - 60 Hz - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA15255765,Lenovo IdeaPad L340-15IRH,0.0,MLA-NOTEBOOKS
MLA16109436,Lenovo V15 ADA,0.0,MLA-NOTEBOOKS
MLA15708601,Lenovo IdeaPad S150-14AST,0.0,MLA-NOTEBOOKS
MLA15504717,Lenovo IdeaPad Slim 1 1-14AST-05 - Platinum gray - 4 GB - 64 GB - 1366 px x 768 px - AMD Radeon R4 - AMD - A6-Series - 9220E - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA16159863,Lenovo Yoga Slim 7 14ARE05,0.0,MLA-NOTEBOOKS
MLA15708602,Lenovo IdeaPad S150-14AST - Ice blue - 4 GB - 64 GB - 1366 px x 768 px - AMD Radeon R3 - AMD - A4-Series - 9120E - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA16591144,Lenovo IdeaPad Flex 5 14IIL05,0.0,MLA-NOTEBOOKS
MLA16053934,Lenovo IdeaPad 3 14ADA05 - Abyss blue - 8 GB - 256 GB - 1920 px x 1080 px - AMD Radeon Vega 8 - AMD - Ryzen 5 - 3500U - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA16205634,Lenovo IdeaPad L340,0.0,MLA-NOTEBOOKS
MLA15248254,Lenovo IdeaPad S145-15IWL,0.0,MLA-NOTEBOOKS
MLA16029714,Lenovo IdeaPad 1 14IGL05 - Ice blue - 4 GB - 128 GB - 1366 px x 768 px - Intel UHD Graphics 605 - Intel - Pentium Silver - N5030 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA15253905,Lenovo V-Series V130-15IGM,0.0,MLA-NOTEBOOKS
MLA16119504,Lenovo IdeaPad L340-15API,0.0,MLA-NOTEBOOKS
MLA15312877,Lenovo IdeaPad S340 - Gris - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i5 - 8265U - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
MLA15256676,Lenovo IdeaPad S145-15API,0.0,MLA-NOTEBOOKS
MLA15557680,Lenovo IdeaPad S145-14AST,0.0,MLA-NOTEBOOKS
MLA15270182,Lenovo IdeaPad 320-15ISK,0.0,MLA-NOTEBOOKS
MLA15255771,Lenovo IdeaPad 330-15IKB,0.0,MLA-NOTEBOOKS
