;index;item_id;product;price;accepts_mercadopago;listing_type_id;available_quantity;initial_quantity;original_price;title;category_id;health;catalog_product_id;warranty;domain_id;sold_quantity;buying_mode;official_store_id;seller_address.state.name;start_time;status;condition;tags;seller_address.country.name;seller_id;base_price;questions_total;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.neutral;user_nickname;user_seller_reputation.transactions.ratings.negative;user_seller_reputation.level_id;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.canceled;product_sold_quantity;product_domain_id;product_name
0;0;MLA897102394;Microsoft Surface;139999.0;TRUE;gold_special;1;6;;Microsoft Surface Intel Core I5 10ma 8gb 128gb 12.4 Touch;MLA1652;0.8;MLA16995199;Garantía del vendedor: 12 meses;MLA-NOTEBOOKS;4;buy_it_now;;Capital Federal;2020-11-13T19:43:12.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];Argentina;318494504;139999.0;;65083.0;0.01;ELECTRO-WORLD GROUP;0.02;5_green;0.97;platinum;normal;3447.0;0.0;MLA-NOTEBOOKS;Microsoft Surface Laptop Go THH-00001
1;1;MLA897477169;Microsoft Surface;169999.0;TRUE;gold_pro;1;6;;Microsof Surface Intel Core I5 10ma 8gb 128gb Ssd 12.4 Touch;MLA1652;1.0;MLA16995199;Garantía del vendedor: 12 meses;MLA-NOTEBOOKS;5;buy_it_now;;Capital Federal;2020-11-16T21:24:10.000Z;active;new;['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;318494504;169999.0;;65083.0;0.01;ELECTRO-WORLD GROUP;0.02;5_green;0.97;platinum;normal;3447.0;0.0;MLA-NOTEBOOKS;Microsoft Surface Laptop Go THH-00001
2;2;MLA902092382;Microsoft Surface;180000.0;TRUE;gold_special;1;2;;Microsoft Surface Pro 7 12.3' I5 8gb 256gb - Teclado Y Lapiz;MLA82085;0.87;MLA16836124;Garantía del vendedor: 6 meses;MLA-TABLETS;1;buy_it_now;;Capital Federal;2020-12-23T16:21:59.000Z;active;new;['poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;5276693;180000.0;9.0;2672.0;0.02;HARLEM;0.01;5_green;0.97;platinum;normal;249.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
3;3;MLA899937676;Microsoft Surface;98280.0;TRUE;gold_special;1;5;;Microsoft Surface Go Qe5-00001 128gb 8gb Ram Red 4g Lte _s;MLA82085;0.81;;Garantía del vendedor: 6 meses;MLA-TABLETS;1;buy_it_now;;Capital Federal;2020-12-04T15:36:40.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;470817630;98280.0;;1862.0;0.01;HDMI ONLINE;0.03;5_green;0.96;gold;normal;193.0;;;
4;4;MLA903693856;Microsoft Surface;129000.0;TRUE;gold_special;1;1;;Microsoft Surface Go 2, 10.5 8gb Ram, 128gb Intel Pentium;MLA82085;0.88;;Sin garantía;MLA-TABLETS;0;buy_it_now;;Capital Federal;2021-01-09T17:55:53.000Z;active;new;['brand_verified', 'immediate_payment', 'cart_eligible'];Argentina;8462762;129000.0;;8.0;0.0;EXP2002;0.0;5_green;1.0;;normal;2.0;;;
5;5;MLA883556480;Microsoft Surface;14999.0;TRUE;gold_special;1;10;;Cargador P/ Microsoft Surface Pro 3 Pro 4 12v 2.58a 36w;MLA3577;0.77;;Garantía del vendedor: 3 meses;MLA-LAPTOP_CHARGERS;5;buy_it_now;;Capital Federal;2020-10-12T11:31:30.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;58896557;14999.0;5.0;6798.0;0.02;ENERGYPRO.COM.AR;0.0;5_green;0.98;platinum;normal;823.0;;;
6;6;MLA868747701;Microsoft Surface;229999.0;TRUE;gold_special;1;1;;Microsoft Surface Pro 7 I5 8gb Ram 128gb Ssd Sellada Touch;MLA82085;0.77;MLA16836124;Garantía de fábrica: 12 meses;MLA-TABLETS;0;buy_it_now;;Córdoba;2020-07-17T21:09:47.000Z;active;new;['brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;234712451;229999.0;;9.0;0.0;POLITOCOS;0.0;5_green;1.0;;normal;1.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
7;7;MLA762546817;Microsoft Surface;315808.01;TRUE;gold_special;1;2;;Microsoft Surface Laptop 2 8gb Ram 128gb I5 A Pedido!;MLA1652;0.66;MLA15711756;;MLA-NOTEBOOKS;1;buy_it_now;;Capital Federal;2018-12-14T17:22:26.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;90952429;315808.01;;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;0.0;MLA-NOTEBOOKS;Microsoft Surface Laptop 2 DAJ-00092
8;8;MLA812234258;Microsoft Surface;195288.69;TRUE;gold_special;1;1;;Microsoft Surface Laptop I7-7660u 8gb 256gb Ssd Iris 640;MLA1652;0.88;;Garantía de fábrica: 12 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2019-08-31T20:09:54.000Z;active;new;['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;96750163;195288.69;;20.0;0.02;HARDWARE-EXTREME WEB;0.0;4_light_green;0.98;;normal;6.0;;;
9;9;MLA808697748;Microsoft Surface;168999.82;TRUE;gold_special;1;1;;Microsoft Surface Pro 6 I5-8250u 8gb 256gb Ssd;MLA82085;0.9;MLA16836124;;MLA-TABLETS;0;buy_it_now;;Capital Federal;2019-08-14T02:23:58.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;96750163;168999.82;;20.0;0.02;HARDWARE-EXTREME WEB;0.0;4_light_green;0.98;;normal;6.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
10;10;MLA823893189;Microsoft Surface;402457.21;TRUE;gold_special;1;1;;Tablet Microsoft Surface Pro 6 Intel I7 16gb 512gb A Pedido;MLA82085;0.9;;Garantía del vendedor: 20 días;MLA-TABLETS;0;buy_it_now;;Capital Federal;2019-11-06T16:16:23.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;90952429;402457.21;19.0;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;;;
11;11;MLA812207533;Microsoft Surface;212485.16;TRUE;gold_special;1;1;;Microsoft Surface Book 2 13,5 I5-8350u 8gb 256gb;MLA82085;0.9;MLA16836124;Garantía de fábrica: 12 meses;MLA-TABLETS;0;buy_it_now;;Capital Federal;2019-08-31T14:11:36.000Z;active;new;['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible'];Argentina;96750163;212485.16;;20.0;0.02;HARDWARE-EXTREME WEB;0.0;4_light_green;0.98;;normal;6.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
12;12;MLA903115972;Microsoft Surface;29999.0;TRUE;gold_special;1;1;;Tablet Microsoft Surface Rt 64 Gb + Funda Y Teclado Original;MLA82085;0.66;;Garantía del vendedor: 3 meses;MLA-TABLETS;0;buy_it_now;;Capital Federal;2021-01-04T21:58:39.000Z;active;used;['immediate_payment', 'cart_eligible'];Argentina;541855;29999.0;;1542.0;0.0;TELOVENDO_ARG;0.0;5_green;1.0;gold;normal;132.0;;;
13;13;MLA882908439;Microsoft Surface;122000.0;TRUE;gold_special;1;1;;Surface Pro 3 256 Gb Ssd, 8g Ram, I7, Teclado Y Pen Orig.;MLA82085;0.66;MLA6356843;Sin garantía;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-10-07T22:08:16.000Z;paused;used;['poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;21871400;122000.0;16.0;36.0;0.01;GAITAV;0.0;5_green;0.99;;normal;2.0;0.0;MLA-TABLETS;Microsoft Surface Pro 3
14;14;MLA897637098;Microsoft Surface;17500.0;TRUE;gold_special;1;1;;Tablet Microsoft Surface;MLA82085;0.75;;Sin garantía;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-11-17T20:10:53.000Z;active;used;['poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;72340583;17500.0;;15.0;0.0;ROMINA PAPIERMAN;0.0;5_green;1.0;;real_estate_agency;0.0;;;
15;15;MLA860924606;Microsoft Surface;76000.0;TRUE;gold_special;1;1;;Microsoft Surface 4 I5 6200 8g 256g 12 Mdp Consultar;MLA82085;0.75;MLA6129248;Sin garantía;MLA-TABLETS;0;buy_it_now;;Buenos Aires;2020-06-08T11:40:45.000Z;active;used;['good_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;235054689;76000.0;9.0;41.0;0.01;TOP GAMER;0.0;5_green;0.99;;normal;9.0;0.0;MLA-TABLETS;Microsoft Surface Pro 4
16;16;MLA878857301;Microsoft Surface;256736.3;TRUE;gold_special;1;1;;Surface Pro 5ta Generacion Ntel Core M3 4gb A Pedido;MLA82085;0.81;MLA15992855;Garantía del vendedor: 30 días;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-09-15T15:43:29.000Z;active;new;['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;90952429;256736.3;;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;0.0;MLA-TABLETS;Microsoft Surface 3
17;17;MLA735673975;Microsoft Surface;16999.0;TRUE;gold_special;1;145;;Cargador P/ Tablet Microsoft Surface Pro 3 15v 2.58a Pro 4;MLA125135;0.9;;GARANTIA 3 MESES;MLA-MOBILE_DEVICE_CHARGERS;50;buy_it_now;;Capital Federal;2018-07-05T14:42:28.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];Argentina;58896557;16999.0;;6798.0;0.02;ENERGYPRO.COM.AR;0.0;5_green;0.98;platinum;normal;823.0;;;
18;18;MLA842837613;Microsoft Surface;251028.98;TRUE;gold_special;1;1;;Microsoft Surface Laptop 3 I7 10th 16gb 256gbssd Por Encargo;MLA1652;0.9;MLA15318053;Garantía de fábrica: 12 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-03-09T09:55:26.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;96750163;251028.98;;20.0;0.02;HARDWARE-EXTREME WEB;0.0;4_light_green;0.98;;normal;6.0;0.0;MLA-NOTEBOOKS;Microsoft Surface Laptop DAJ-00041
19;19;MLA883556236;Microsoft Surface;16999.0;TRUE;gold_special;1;10;;Cargador P/ Microsoft Surface Pro 6 Pro 7 15v 2.58a 44w;MLA3577;0.77;;Garantía del vendedor: 3 meses;MLA-LAPTOP_CHARGERS;5;buy_it_now;;Capital Federal;2020-10-12T11:22:25.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;58896557;16999.0;;6798.0;0.02;ENERGYPRO.COM.AR;0.0;5_green;0.98;platinum;normal;823.0;;;
20;20;MLA883747904;Microsoft Surface;312500.0;TRUE;gold_special;1;10;;Tablet  Surface Pro 6 Intel I5 8gb 128gb ;MLA82085;0.77;MLA16836124;Garantía del vendedor: 30 días;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-10-13T21:22:50.000Z;active;new;['poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;656997519;312500.0;;11.0;1.0;WALTERLUISVALDEZ;0.0;5_green;0.0;;normal;6.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
21;21;MLA878347749;Microsoft Surface;21800.0;TRUE;gold_special;50;100;;Moko Microsoft Surface Pro 7 / Pro 6 / Surface Pro 5 (pro 20;MLA82085;0.7;;Garantía del vendedor: 30 DIAS;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-09-12T17:52:34.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;63272136;21800.0;0.0;6303.0;0.01;ORIGINALCASE NET;0.02;5_green;0.97;platinum;normal;729.0;;;
22;22;MLA880313709;Microsoft Surface;230966.42;TRUE;gold_special;1;1;;Microsoft Surface Laptop 13,3 I7-7660u 16gb 1tb Ssd;MLA1652;0.9;MLA15342616;Garantía de fábrica: 12 meses;MLA-NOTEBOOKS;0;buy_it_now;;Capital Federal;2020-09-23T18:40:38.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;96750163;230966.42;;20.0;0.02;HARDWARE-EXTREME WEB;0.0;4_light_green;0.98;;normal;6.0;0.0;MLA-NOTEBOOKS;Microsoft Surface Laptop DAJ-00061
23;23;MLA834385705;Microsoft Surface;585057.82;TRUE;gold_special;1;1;;Microsoft Surface Pro 7 I7 12.3  16gb 256gb A Pedido;MLA82085;0.7;MLA16639383;Garantía del vendedor: 30 días;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-01-15T00:21:03.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment'];Argentina;90952429;585057.82;7.0;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i7
24;24;MLA726633958;Microsoft Surface;332327.18;TRUE;gold_special;1;1;;Microsoft Surface Pro 4 12.3 128gb Ssd A Pedido!;MLA82085;0.72;MLA6129248;;MLA-TABLETS;0;buy_it_now;;Capital Federal;2018-05-22T19:49:56.000Z;active;new;['brand_verified', 'catalog_listing_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;90952429;332327.18;;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;0.0;MLA-TABLETS;Microsoft Surface Pro 4
25;25;MLA881237493;Microsoft Surface;22400.0;TRUE;gold_special;50;100;;Moko Microsoft Surface Pro 7/ Pro 6 / Pro 5 (pro 2017) / Pro;MLA82085;0.66;;Garantía del vendedor: 30 DIAS;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-09-28T20:12:58.000Z;active;new;['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;63272136;22400.0;;6303.0;0.01;ORIGINALCASE NET;0.02;5_green;0.97;platinum;normal;729.0;;;
26;26;MLA838410451;Microsoft Surface;188000.0;TRUE;gold_special;1;1;;Microsoft Surface Pro 4 Core I5, 4gb, 128 Gb , 12,3  + Mouse;MLA82085;0.55;MLA16836124;Sin garantía;MLA-TABLETS;0;buy_it_now;;Capital Federal;2020-02-10T15:02:08.000Z;active;used;['poor_quality_picture', 'immediate_payment', 'cart_eligible'];Argentina;42257959;188000.0;12.0;39.0;0.0;SANTIR24;0.0;5_green;1.0;;normal;2.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
27;27;MLA760409262;Microsoft Surface;292988.84;TRUE;gold_special;1;3;;Tablet Microsoft Surface Pro 6 Intel I5 8gb 128gb A Pedido;MLA82085;0.9;MLA16836124;;MLA-TABLETS;0;buy_it_now;;Capital Federal;2018-11-29T17:26:09.000Z;active;new;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];Argentina;90952429;292988.84;;486.0;0.01;PS3ARGENTINA;0.0;5_green;0.99;silver;normal;54.0;0.0;MLA-TABLETS;Microsoft Surface Pro 7 i5
