;item_id;product;official_store_id;initial_quantity;seller_address.country.name;buying_mode;title;health;listing_type_id;seller_address.state.name;warranty;status;price;category_id;available_quantity;catalog_product_id;original_price;base_price;accepts_mercadopago;tags;start_time;condition;seller_id;domain_id;sold_quantity;questions_total;user_seller_reputation.level_id;user_seller_reputation.transactions.canceled;user_seller_reputation.power_seller_status;user_user_type;user_seller_reputation.transactions.ratings.neutral;user_seller_reputation.transactions.completed;user_seller_reputation.transactions.ratings.positive;user_seller_reputation.transactions.ratings.negative;user_nickname;product_domain_id;product_sold_quantity;product_name
0;MLA865606925;Apple Macbook Air;;33;Argentina;buy_it_now;Apple Macbook Air 13.3' 2020 Intel I3 8gb 256gb;0.75;gold_special;Capital Federal;Garantía del vendedor: 6 meses;active;160000.0;MLA1652;1;MLA15913938;;160000.0;TRUE;['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-07-02T00:57:57.000Z;new;5276693;MLA-NOTEBOOKS;15;;5_green;249.0;platinum;normal;0.02;2673.0;0.97;0.01;HARLEM;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
1;MLA902168595;Apple Macbook Air;;5;Argentina;buy_it_now;Apple Macbook Air 13.3 Intel Core I3 256gb Ssd, 8gb Envios;0.87;gold_special;Córdoba;Garantía de fábrica: 12 meses;active;154900.0;MLA1652;1;MLA15913938;;154900.0;TRUE;['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-12-24T15:15:11.000Z;new;158169010;MLA-NOTEBOOKS;4;21.0;5_green;360.0;platinum;normal;0.01;4422.0;0.98;0.01;COATI DIGITAL;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
2;MLA871311137;Apple Macbook Air;;8;Argentina;buy_it_now;Apple Macbook Air 13 Core I5 8gb 512gb Ssd Modelo 2020;0.87;gold_special;Capital Federal;Garantía del vendedor: 6 meses;active;200000.0;MLA1652;1;;;200000.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-08-02T06:21:45.000Z;new;5276693;MLA-NOTEBOOKS;6;;5_green;249.0;platinum;normal;0.02;2673.0;0.97;0.01;HARLEM;;;
3;MLA831825009;Apple Macbook Air;;20901;Argentina;buy_it_now;Macbook Air 2020 Retina Sensor Id Ssd256gb 18 Cuotas Sin Int;1.0;gold_pro;Capital Federal;Garantía del vendedor: 12 meses;active;259999.0;MLA1652;10500;MLA15913938;;259999.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2019-12-26T17:37:14.000Z;new;225480741;MLA-NOTEBOOKS;12;;5_green;335.0;platinum;normal;0.0;4410.0;1.0;0.0;MLSERCOFIN;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
4;MLA896864876;Apple Macbook Air;;10;Argentina;buy_it_now;Apple Macbook Air 2020 13.3 Core I3 8gb 256gb A2179 1,29kg;0.87;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;154499.0;MLA1652;2;MLA15913938;;154499.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible'];2020-11-12T13:17:42.000Z;new;86898163;MLA-NOTEBOOKS;6;;5_green;1415.0;platinum;normal;0.01;27385.0;0.98;0.01;OFERTAS INFORMATICAS;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
5;MLA865569740;Apple Macbook Air;;34;Argentina;buy_it_now;Macbook Air 13.3 Intel Core I5 512gb Ssd, 8gb (nuevo Modelo);0.87;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;225000.0;MLA1652;1;;;225000.0;TRUE;['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible'];2020-07-01T20:54:03.000Z;new;44778367;MLA-NOTEBOOKS;15;143.0;5_green;436.0;platinum;normal;0.0;7697.0;0.99;0.01;EAGLETECHNOLOGY;;;
6;MLA869569614;Apple Macbook Air;;11;Argentina;buy_it_now;Apple Macbook Air 13  I5 1.1 Ghz 8gb 512gb Ssd Mvh22le/a;0.8;gold_special;Capital Federal;Garantía del vendedor: 6 meses;active;264999.0;MLA1652;1;;;264999.0;TRUE;['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible'];2020-07-22T20:07:23.000Z;new;176546321;MLA-NOTEBOOKS;5;;5_green;346.0;platinum;normal;0.01;4696.0;0.98;0.01;GOPRO STORE;;;
7;MLA903404556;Apple Macbook Air;;3;Argentina;buy_it_now;Apple Macbook Air 13.3 Español Intel Core I3 256gb Ssd 8gb;0.87;gold_special;Capital Federal;Garantía de fábrica: 1 años;active;155999.0;MLA1652;1;MLA15913938;;155999.0;TRUE;['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2021-01-07T02:09:31.000Z;new;53644240;MLA-NOTEBOOKS;2;;5_green;31.0;silver;normal;0.01;623.0;0.99;0.0;TRICU3O;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
8;MLA896870097;Apple Macbook Air;;14;Argentina;buy_it_now;Apple Macbook Air 2020 13.3 A2179 Intel Core I3 8gb 256gb ;0.9;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;154000.0;MLA1652;2;MLA15913938;;154000.0;TRUE;['loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-11-12T13:39:30.000Z;new;69526727;MLA-NOTEBOOKS;7;46.0;5_green;1467.0;platinum;normal;0.02;28154.0;0.96;0.02;ELECTRONIC-MARKET;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
9;MLA874749314;Apple Macbook Air;;3000;Argentina;buy_it_now;Macbook Air 13.3 2020 Retina Sensor Id Ssd 256gb Gtia Oficia;0.9;gold_special;Capital Federal;Garantía de fábrica: 12 meses;active;189999.0;MLA1652;1500;MLA15913938;;189999.0;TRUE;['good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible'];2020-08-23T13:30:49.000Z;new;225480741;MLA-NOTEBOOKS;3;;5_green;335.0;platinum;normal;0.0;4410.0;1.0;0.0;MLSERCOFIN;MLA-NOTEBOOKS;0.0;Apple MacBook Air A2179
