,item_id,product,title,price,accepts_mercadopago,base_price,warranty,official_store_id,seller_id,sold_quantity,catalog_product_id,category_id,start_time,seller_address.country.name,status,condition,health,tags,buying_mode,original_price,domain_id,available_quantity,initial_quantity,seller_address.state.name,listing_type_id,questions_total,user_user_type,user_seller_reputation.power_seller_status,user_nickname,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.canceled,user_seller_reputation.level_id,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.negative,product_name,product_sold_quantity,product_domain_id
0,MLA880373342,Lenovo Ideapad,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd ",78999.0,True,78999.0,Garantía del vendedor: 12 meses,,482880972,50,MLA16189144,MLA1652,2020-09-23T23:00:32.000Z,Argentina,active,new,0.75,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,76,Capital Federal,gold_special,84.0,normal,platinum,MAGATEKNO,3246.0,0.99,151.0,5_green,0.01,0.0,Lenovo IdeaPad 3,0.0,MLA-NOTEBOOKS
1,MLA901192965,Lenovo Ideapad,Notebook Lenovo Amd A6 4g 500gb Windows 10,48999.0,True,48999.0,Garantía de fábrica: 12 meses,1938,608846165,25,MLA15261472,MLA1652,2020-12-15T20:39:50.000Z,Argentina,active,new,0.87,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,50,102,Buenos Aires,gold_special,,brand,platinum,ELECTRONICAFLA,190109.0,0.9,8502.0,5_green,0.03,0.07,Lenovo IdeaPad S145-15AST,0.0,MLA-NOTEBOOKS
2,MLA879470343,Lenovo Ideapad,Notebook Lenovo I3 8130u 4gb 1tb 15.6 Garantía Oficial Pce,64990.0,True,64990.0,Garantía de fábrica: 12 meses,,174556876,50,MLA15252017,MLA1652,2020-09-18T20:44:59.000Z,Argentina,active,new,0.75,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",buy_it_now,81999,MLA-NOTEBOOKS,50,165,Capital Federal,gold_special,,normal,platinum,OVERHARD DIGITAL,407657.0,0.94,27757.0,5_green,0.03,0.03,Lenovo IdeaPad 130-15AST,0.0,MLA-NOTEBOOKS
3,MLA898095592,Lenovo Ideapad,"Notebook Lenovo Core I3 1005g1 10ma/8gb/ssd256gb 15,6w10 Cuo",79999.0,True,79999.0,Garantía de fábrica: 12 meses,,187140437,25,MLA16041757,MLA1652,2020-11-20T16:56:56.000Z,Argentina,active,new,0.75,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,47,Buenos Aires,gold_special,,normal,platinum,HTVSZGMULTITECSRL,5614.0,0.97,282.0,5_green,0.01,0.02,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
4,MLA874052902,Lenovo Ideapad,Lenovo Intel I3 8gb Ddr4 Ssd 250 Notebook,80000.0,True,80000.0,Garantía del vendedor: 12 meses,,52450785,5,MLA16041756,MLA1652,2020-08-19T12:14:35.000Z,Argentina,active,new,0.87,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,26,Buenos Aires,gold_special,,normal,silver,WINTER SOFT,107.0,0.97,16.0,5_green,0.0,0.03,Lenovo IdeaPad 3 15IIL05,0.0,MLA-NOTEBOOKS
5,MLA872154158,Lenovo Ideapad,Notebook Lenovo A6 9225 4gb 1tb 15.6 Pulgadas Amd Radeon R4,54999.0,True,54999.0,Garantía de fábrica: 12 meses,,174556876,200,MLA15280170,MLA1652,2020-08-07T10:33:22.000Z,Argentina,active,new,0.87,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,68999,MLA-NOTEBOOKS,1,236,Capital Federal,gold_special,214.0,normal,platinum,OVERHARD DIGITAL,407657.0,0.94,27757.0,5_green,0.03,0.03,Lenovo IdeaPad 330-15AST,0.0,MLA-NOTEBOOKS
6,MLA886159618,Lenovo Ideapad,Notebook Lenovo Intel Pentium 4gb Ram 128gb Ssd Windows 10,62899.0,True,62899.0,Garantía de fábrica: 6 meses,,25704919,25,MLA16029713,MLA1652,2020-10-30T18:25:04.000Z,Argentina,active,new,0.87,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,49,Capital Federal,gold_special,,normal,platinum,ELECTRO-SHOWS,46985.0,0.96,5507.0,5_green,0.01,0.03,Lenovo IdeaPad 1 14IGL05,0.0,MLA-NOTEBOOKS
7,MLA901192463,Lenovo Ideapad,Notebook Lenovo Intel Core I5 8g 1tb Windows 10,106999.0,True,106999.0,Garantía de fábrica: 12 meses,1938,608846165,25,MLA15698354,MLA1652,2020-12-15T20:39:48.000Z,Argentina,active,new,1.0,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,45,Buenos Aires,gold_pro,48.0,brand,platinum,ELECTRONICAFLA,190109.0,0.9,8502.0,5_green,0.03,0.07,Lenovo IdeaPad S145-15IIL - Platinum gray - 8 GB - 1 TB - 1366 px x 768 px - Intel Iris Plus Graphics - Intel - Core i5 - 1035G4 - Windows - 10 - Home,0.0,MLA-NOTEBOOKS
8,MLA901847314,Lenovo Ideapad,Notebook Lenovo Amd Ryzen 3 8gb 256ssd Windows 10,74999.0,True,74999.0,Garantía de fábrica: 12 meses,1938,608846165,5,MLA15738290,MLA1652,2020-12-21T17:34:39.000Z,Argentina,active,new,0.87,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,55,Buenos Aires,gold_special,26.0,brand,platinum,ELECTRONICAFLA,190109.0,0.9,8502.0,5_green,0.03,0.07,Lenovo IdeaPad S340-15API,0.0,MLA-NOTEBOOKS
9,MLA884489286,Lenovo Ideapad,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd Tactil",89999.0,True,89999.0,Garantía de fábrica: 6 meses,,193659561,25,MLA16041756,MLA1652,2020-10-19T16:15:53.000Z,Argentina,active,new,0.8,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",buy_it_now,,MLA-NOTEBOOKS,1,66,Capital Federal,gold_special,88.0,normal,platinum,JFS TECH,6777.0,0.98,388.0,5_green,0.01,0.01,Lenovo IdeaPad 3 15IIL05,0.0,MLA-NOTEBOOKS
