item_id,product
MLA885869161,Motorola G6
MLA884005713,Motorola G6
MLA902033509,Motorola G6
MLA900886052,Motorola G6
MLA899797530,Motorola G6
MLA844157293,Motorola G6
MLA902102999,Motorola G6
MLA904510711,Motorola G6
MLA900570213,Motorola G6
MLA837480456,Motorola G6
MLA897736173,Chromecast
MLA904043136,Chromecast
MLA832082627,Chromecast
MLA898700662,Chromecast
MLA871703477,Chromecast
MLA782706781,Chromecast
MLA884200837,Chromecast
MLA759895787,Chromecast
MLA681084500,Chromecast
MLA886510335,Chromecast
