item_id,product,item_order
MLA865606925,Apple Macbook,1
MLA865569740,Apple Macbook,2
MLA831825009,Apple Macbook,3
MLA903181331,Apple Macbook,4
MLA901996842,Apple Macbook,5
MLA901992601,Apple Macbook,6
MLA903404556,Apple Macbook,7
MLA885542068,Apple Macbook,8
MLA896870097,Apple Macbook,9
MLA897147605,Apple Macbook,10
MLA886631663,Apple Macbook,11
MLA878263917,Apple Macbook,12
MLA896864876,Apple Macbook,13
MLA653282516,Apple Macbook,14
MLA843370924,Apple Macbook,15
MLA874749314,Apple Macbook,16
MLA832710886,Apple Macbook,17
MLA865003694,Apple Macbook,18
MLA864345958,Apple Macbook,19
MLA883827185,Apple Macbook,20
MLA896869106,Apple Macbook,21
MLA886466077,Apple Macbook,22
MLA869569614,Apple Macbook,23
MLA873752733,Apple Macbook,24
MLA874544391,Apple Macbook,25
MLA862047981,Apple Macbook,26
MLA847744939,Apple Macbook,27
MLA847743217,Apple Macbook,28
MLA867186771,Apple Macbook,29
MLA875196164,Apple Macbook,30
MLA877817593,Apple Macbook,31
MLA869314461,Apple Macbook,32
MLA874198875,Apple Macbook,33
MLA903179553,Apple Macbook,34
MLA869735308,Apple Macbook,35
MLA678667577,Apple Macbook,36
MLA870632222,Apple Macbook,37
MLA756459695,Apple Macbook,38
MLA869570604,Apple Macbook,39
MLA902755851,Apple Macbook,40
MLA879066374,Apple Macbook,41
MLA829595674,Apple Macbook,42
MLA903179544,Apple Macbook,43
MLA877579515,Apple Macbook,44
MLA874545708,Apple Macbook,45
MLA870218888,Apple Macbook,46
MLA897584191,Apple Macbook,47
MLA875191656,Apple Macbook,48
MLA876288669,Apple Macbook,49
MLA868697155,Apple Macbook,50
MLA877381906,Apple Macbook,51
MLA875632525,Apple Macbook,52
MLA874451923,Apple Macbook,53
MLA874446527,Apple Macbook,54
MLA865520593,Apple Macbook,55
MLA874201428,Apple Macbook,56
MLA695701966,Apple Macbook,57
MLA885976724,Apple Macbook,58
MLA881489801,Apple Macbook,59
MLA876213468,Apple Macbook,60
MLA758832906,Apple Macbook,61
MLA862544622,Apple Macbook,62
MLA875692228,Apple Macbook,63
MLA903925339,Apple Macbook,64
MLA878881367,Apple Macbook,65
MLA897277675,Apple Macbook,66
MLA902366208,Apple Macbook,67
MLA904024220,Apple Macbook,68
MLA736663866,Apple Macbook,69
MLA904508525,Apple Macbook,70
MLA874727735,Apple Macbook,71
MLA896403893,Apple Macbook,72
MLA853482641,Apple Macbook,73
MLA824781501,Apple Macbook,74
MLA898646491,Apple Macbook,75
MLA899708014,Apple Macbook,76
MLA903194453,Apple Macbook,77
MLA753063752,Apple Macbook,78
MLA865969470,Apple Macbook,79
MLA901884707,Apple Macbook,80
MLA881436663,Apple Macbook,81
MLA860731947,Apple Macbook,82
MLA901074540,Apple Macbook,83
MLA899706353,Apple Macbook,84
MLA760732474,Apple Macbook,85
MLA758824649,Apple Macbook,86
MLA777209642,Apple Macbook,87
MLA843187260,Apple Macbook,88
MLA886695519,Apple Macbook,89
MLA885432260,Apple Macbook,90
MLA904220021,Apple Macbook,91
MLA904220200,Apple Macbook,92
MLA750477717,Apple Macbook,93
MLA877005086,Apple Macbook,94
MLA885311175,Apple Macbook,95
MLA884822621,Apple Macbook,96
MLA902368613,Apple Macbook,97
MLA903592127,Apple Macbook,98
MLA877479990,Apple Macbook,99
MLA865527152,Apple Macbook,100
MLA868716710,Apple Macbook,101
MLA884328965,Apple Macbook,102
MLA885977652,Apple Macbook,103
MLA901493149,Apple Macbook,104
MLA896987657,Apple Macbook,105
MLA868691999,Apple Macbook,106
MLA874750542,Apple Macbook,107
MLA903924284,Apple Macbook,108
MLA903839702,Apple Macbook,109
MLA881249003,Apple Macbook,110
MLA885188434,Apple Macbook,111
MLA900224107,Apple Macbook,112
MLA898092846,Apple Macbook,113
MLA904027254,Apple Macbook,114
MLA901456707,Apple Macbook,115
MLA739905658,Apple Macbook,116
MLA903520516,Apple Macbook,117
