item_id,product,available_quantity,listing_type_id,initial_quantity,sold_quantity,base_price,catalog_product_id,accepts_mercadopago,seller_address.country.name,status,tags,seller_id,price,warranty,original_price,domain_id,health,buying_mode,title,condition,category_id,official_store_id,start_time,seller_address.state.name,questions_total,user_user_type,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.level_id,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.canceled,user_seller_reputation.power_seller_status,user_seller_reputation.transactions.ratings.negative,user_nickname,product_domain_id,product_name
MLA880373342,Lenovo Ideapad,1,gold_special,76,50,78999.0,MLA16189144,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",482880972,78999.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.75,buy_it_now,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd ",new,MLA1652,,2020-09-23T23:00:32.000Z,Capital Federal,84.0,normal,0.99,0.01,5_green,3246.0,152.0,platinum,0.0,MAGATEKNO,MLA-NOTEBOOKS,Lenovo IdeaPad 3
MLA901192965,Lenovo Ideapad,50,gold_special,102,25,48999.0,MLA15261472,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",608846165,48999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo Amd A6 4g 500gb Windows 10,new,MLA1652,1938,2020-12-15T20:39:50.000Z,Buenos Aires,,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15AST
MLA898095689,Lenovo Ideapad,1,gold_special,44,25,79999.0,MLA16041757,True,Argentina,active,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",187140437,79999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,"Notebook Lenovo Core I3 1005g1 10ma 8gb Ssd 256gb 15,6 Win10",new,MLA1652,,2020-11-20T16:59:46.000Z,Buenos Aires,81.0,normal,0.97,0.01,5_green,5624.0,282.0,platinum,0.02,HTVSZGMULTITECSRL,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home
MLA879470343,Lenovo Ideapad,50,gold_special,165,50,64990.0,MLA15252017,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",174556876,64990.0,Garantía de fábrica: 12 meses,81999,MLA-NOTEBOOKS,0.75,buy_it_now,Notebook Lenovo I3 8130u 4gb 1tb 15.6 Garantía Oficial Pce,new,MLA1652,,2020-09-18T20:44:59.000Z,Capital Federal,112.0,normal,0.94,0.03,5_green,408198.0,27764.0,platinum,0.03,OVERHARD DIGITAL,MLA-NOTEBOOKS,Lenovo IdeaPad 130-15AST
MLA898095592,Lenovo Ideapad,1,gold_special,47,25,79999.0,MLA16041757,True,Argentina,active,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'immediate_payment', 'cart_eligible']",187140437,79999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,0.75,buy_it_now,"Notebook Lenovo Core I3 1005g1 10ma/8gb/ssd256gb 15,6w10 Cuo",new,MLA1652,,2020-11-20T16:56:56.000Z,Buenos Aires,56.0,normal,0.97,0.01,5_green,5624.0,282.0,platinum,0.02,HTVSZGMULTITECSRL,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home
MLA874052902,Lenovo Ideapad,1,gold_special,26,5,80000.0,MLA16041756,True,Argentina,active,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",52450785,80000.0,Garantía del vendedor: 12 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Lenovo Intel I3 8gb Ddr4 Ssd 250 Notebook,new,MLA1652,,2020-08-19T12:14:35.000Z,Buenos Aires,63.0,normal,0.97,0.0,5_green,107.0,16.0,silver,0.03,WINTER SOFT,MLA-NOTEBOOKS,Lenovo IdeaPad 3 15IIL05
MLA872154158,Lenovo Ideapad,1,gold_special,236,200,54999.0,MLA15280170,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",174556876,54999.0,Garantía de fábrica: 12 meses,68999,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo A6 9225 4gb 1tb 15.6 Pulgadas Amd Radeon R4,new,MLA1652,,2020-08-07T10:33:22.000Z,Capital Federal,214.0,normal,0.94,0.03,5_green,408198.0,27764.0,platinum,0.03,OVERHARD DIGITAL,MLA-NOTEBOOKS,Lenovo IdeaPad 330-15AST
MLA886159618,Lenovo Ideapad,1,gold_special,49,25,62899.0,MLA16029713,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",25704919,62899.0,Garantía de fábrica: 6 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo Intel Pentium 4gb Ram 128gb Ssd Windows 10,new,MLA1652,,2020-10-30T18:25:04.000Z,Capital Federal,,normal,0.96,0.01,5_green,46993.0,5508.0,platinum,0.03,ELECTRO-SHOWS,MLA-NOTEBOOKS,Lenovo IdeaPad 1 14IGL05
MLA899071712,Lenovo Ideapad,1,gold_special,21,5,47899.0,MLA16240087,True,Argentina,active,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",158169010,47899.0,Garantía de fábrica: 6 meses,,MLA-NOTEBOOKS,0.87,buy_it_now,Notebook Lenovo S145 Intel Celeron N4000 15.6 4gb 1tb Oferta,new,MLA1652,,2020-11-27T17:59:00.000Z,Córdoba,23.0,normal,0.98,0.01,5_green,4429.0,360.0,platinum,0.01,COATI DIGITAL,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IKB - Granite black - 4 GB - 1 TB - 1366 px x 768 px - Intel UHD Graphics 600 - Intel - Celeron - N4000 - FreeDOS
MLA901192463,Lenovo Ideapad,1,gold_pro,45,25,106999.0,MLA15698354,True,Argentina,active,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",608846165,106999.0,Garantía de fábrica: 12 meses,,MLA-NOTEBOOKS,1.0,buy_it_now,Notebook Lenovo Intel Core I5 8g 1tb Windows 10,new,MLA1652,1938,2020-12-15T20:39:48.000Z,Buenos Aires,48.0,brand,0.9,0.03,5_green,190552.0,8518.0,platinum,0.07,ELECTRONICAFLA,MLA-NOTEBOOKS,Lenovo IdeaPad S145-15IIL - Platinum gray - 8 GB - 1 TB - 1366 px x 768 px - Intel Iris Plus Graphics - Intel - Core i5 - 1035G4 - Windows - 10 - Home
