item_id,product,item_order,available_quantity,catalog_product_id,condition,sold_quantity,listing_type_id,warranty,initial_quantity,title,category_id,start_time,seller_address.country.name,seller_id,official_store_id,base_price,domain_id,health,price,seller_address.state.name,tags,original_price,questions_total,user_user_type,user_seller_reputation.transactions.ratings.positive,user_nickname,user_seller_reputation.transactions.ratings.negative,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.level_id,user_seller_reputation.transactions.canceled,user_seller_reputation.power_seller_status,product_name,product_domain_id
MLA865606925,Apple Macbook,1,1,MLA15913938,new,15,gold_special,Garantía del vendedor: 6 meses,33,Apple Macbook Air 13.3' 2020 Intel I3 8gb 256gb,MLA1652,2020-07-02T00:57:57.000Z,Argentina,5276693,,160000.0,MLA-NOTEBOOKS,0.75,160000.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,275.0,normal,0.97,HARLEM,0.01,2684.0,0.02,5_green,250.0,platinum,Apple MacBook Air A2179,MLA-NOTEBOOKS
MLA865569740,Apple Macbook,2,1,,new,15,gold_special,Garantía de fábrica: 12 meses,34,"Macbook Air 13.3 Intel Core I5 512gb Ssd, 8gb (nuevo Modelo)",MLA1652,2020-07-01T20:54:03.000Z,Argentina,44778367,,225000.0,MLA-NOTEBOOKS,0.87,225000.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,143.0,normal,0.99,EAGLETECHNOLOGY,0.01,7696.0,0.0,5_green,437.0,platinum,,
MLA831825009,Apple Macbook,3,10500,MLA15913938,new,12,gold_pro,Garantía del vendedor: 12 meses,20901,Macbook Air 2020 Retina Sensor Id Ssd256gb 18 Cuotas Sin Int,MLA1652,2019-12-26T17:37:14.000Z,Argentina,225480741,,259999.0,MLA-NOTEBOOKS,1.0,259999.0,Capital Federal,"['good_quality_thumbnail', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",,537.0,normal,1.0,MLSERCOFIN,0.0,4408.0,0.0,5_green,339.0,platinum,Apple MacBook Air A2179,MLA-NOTEBOOKS
MLA903181331,Apple Macbook,4,1,,new,1,gold_special,Garantía de fábrica: 12 meses,5,Apple Macbook Pro 16 2020 Touch Bar Intel Core I7 512gb,MLA1652,2021-01-05T15:15:27.000Z,Argentina,608846165,1938,459999.0,MLA-NOTEBOOKS,0.87,459999.0,Buenos Aires,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,6.0,brand,0.9,ELECTRONICAFLA,0.07,191606.0,0.03,5_green,8646.0,platinum,,
MLA901996842,Apple Macbook,5,1,MLA16598196,new,2,gold_special,Garantía de fábrica: 12 meses,5,Apple Macbook Pro 13.3 Core I5 8gb 256gb Retina Mid 2020,MLA1652,2020-12-22T20:10:03.000Z,Argentina,86898163,,234999.0,MLA-NOTEBOOKS,0.9,234999.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,20.0,normal,0.98,OFERTAS INFORMATICAS,0.01,27421.0,0.01,5_green,1416.0,platinum,Apple MacBook Pro A2289,MLA-NOTEBOOKS
MLA901992601,Apple Macbook,6,1,MLA16598196,new,4,gold_special,Garantía de fábrica: 12 meses,7,Apple 13.3 Macbook Pro Retina Display 2020 Core I5 8gb 256gb,MLA1652,2020-12-22T19:34:34.000Z,Argentina,82274172,,239000.0,MLA-NOTEBOOKS,0.9,239000.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,21.0,normal,0.97,BH COMPUTACION,0.01,27256.0,0.02,5_green,1545.0,platinum,Apple MacBook Pro A2289,MLA-NOTEBOOKS
MLA903404556,Apple Macbook,7,1,MLA15913938,new,2,gold_special,Garantía de fábrica: 1 años,3,Apple Macbook Air 13.3 Español Intel Core I3 256gb Ssd 8gb,MLA1652,2021-01-07T02:09:31.000Z,Argentina,53644240,,155999.0,MLA-NOTEBOOKS,0.87,155999.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,9.0,normal,0.99,TRICU3O,0.0,622.0,0.01,5_green,31.0,silver,Apple MacBook Air A2179,MLA-NOTEBOOKS
MLA885542068,Apple Macbook,8,3,MLA15913938,new,8,gold_special,Garantía de fábrica: 12 meses,20,Apple Macbook Air 2020 Mwtl2ll/a 13.3  Core I3 256gb Dorado,MLA1652,2020-10-26T21:48:14.000Z,Argentina,82274172,,153899.0,MLA-NOTEBOOKS,0.88,153899.0,Capital Federal,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",,57.0,normal,0.97,BH COMPUTACION,0.01,27256.0,0.02,5_green,1545.0,platinum,Apple MacBook Air A2179,MLA-NOTEBOOKS
MLA896870097,Apple Macbook,9,3,MLA15913938,new,7,gold_special,Garantía de fábrica: 12 meses,15,Apple Macbook Air 2020 13.3 A2179 Intel Core I3 8gb 256gb ,MLA1652,2020-11-12T13:39:30.000Z,Argentina,69526727,,153999.0,MLA-NOTEBOOKS,0.9,153999.0,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",,48.0,normal,0.96,ELECTRONIC-MARKET,0.02,28209.0,0.02,5_green,1471.0,platinum,Apple MacBook Air A2179,MLA-NOTEBOOKS
MLA897147605,Apple Macbook,10,1,MLA16598196,new,0,gold_special,Garantía de fábrica: 12 meses,1,Macbook Pro 13 Touchbar 2020 I5 8gb 256gb Ssd Garantia,MLA1652,2020-11-14T01:59:05.000Z,Argentina,337885694,,260000.0,MLA-NOTEBOOKS,0.8,260000.0,Buenos Aires,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",,42.0,normal,0.99,FLP8381,0.0,22.0,0.01,5_green,3.0,,Apple MacBook Pro A2289,MLA-NOTEBOOKS
