,index,product,original_price,start_time,seller_address.country.name,listing_type_id,status,catalog_product_id,price,id,tags,base_price,accepts_mercadopago,sold_quantity,health,condition,available_quantity,title,official_store_id,buying_mode,warranty,category_id,seller_address.state.name,seller_id,domain_id,initial_quantity,item_id,questions_total,user_seller_reputation.power_seller_status,user_seller_reputation.transactions.completed,user_seller_reputation.transactions.canceled,user_seller_reputation.transactions.ratings.neutral,user_seller_reputation.transactions.ratings.positive,user_seller_reputation.transactions.ratings.negative,user_seller_reputation.level_id,user_nickname,user_user_type,product_name,product_domain_id
0,0,Lenovo Ideapad,,2020-09-23T23:00:32.000Z,Argentina,gold_special,active,MLA16189144,78999.0,MLA880373342,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",78999.0,True,50,0.75,new,1,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd ",,buy_it_now,Garantía del vendedor: 12 meses,MLA1652,Capital Federal,482880972,MLA-NOTEBOOKS,76,MLA880373342,84.0,platinum,3245.0,152.0,0.01,0.99,0.0,5_green,MAGATEKNO,normal,Lenovo IdeaPad 3,MLA-NOTEBOOKS
1,1,Lenovo Ideapad,,2020-12-15T20:39:50.000Z,Argentina,gold_special,active,MLA15261472,48999.0,MLA901192965,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",48999.0,True,25,0.87,new,50,Notebook Lenovo Amd A6 4g 500gb Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,102,MLA901192965,79.0,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad S145-15AST,MLA-NOTEBOOKS
2,2,Lenovo Ideapad,,2020-11-20T16:59:46.000Z,Argentina,gold_special,active,MLA16041757,79999.0,MLA898095689,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",79999.0,True,25,0.87,new,1,"Notebook Lenovo Core I3 1005g1 10ma 8gb Ssd 256gb 15,6 Win10",,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,187140437,MLA-NOTEBOOKS,44,MLA898095689,81.0,platinum,5624.0,282.0,0.01,0.97,0.02,5_green,HTVSZGMULTITECSRL,normal,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home,MLA-NOTEBOOKS
3,3,Lenovo Ideapad,81999,2020-09-18T20:44:59.000Z,Argentina,gold_special,active,MLA15252017,64990.0,MLA879470343,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",64990.0,True,50,0.75,new,50,Notebook Lenovo I3 8130u 4gb 1tb 15.6 Garantía Oficial Pce,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,174556876,MLA-NOTEBOOKS,165,MLA879470343,112.0,platinum,408152.0,27763.0,0.03,0.94,0.03,5_green,OVERHARD DIGITAL,normal,Lenovo IdeaPad 130-15AST,MLA-NOTEBOOKS
4,4,Lenovo Ideapad,,2020-11-20T16:56:56.000Z,Argentina,gold_special,active,MLA16041757,79999.0,MLA898095592,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",79999.0,True,25,0.75,new,1,"Notebook Lenovo Core I3 1005g1 10ma/8gb/ssd256gb 15,6w10 Cuo",,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,187140437,MLA-NOTEBOOKS,47,MLA898095592,55.0,platinum,5624.0,282.0,0.01,0.97,0.02,5_green,HTVSZGMULTITECSRL,normal,Lenovo IdeaPad 3 15IIL05 - Abyss blue - 8 GB - 256 GB - 1366 px x 768 px - Intel UHD Graphics 620 - Intel - Core i3 - 1005G1 - Windows - 10 - Home,MLA-NOTEBOOKS
5,5,Lenovo Ideapad,,2020-08-19T12:14:35.000Z,Argentina,gold_special,active,MLA16041756,80000.0,MLA874052902,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",80000.0,True,5,0.87,new,1,Lenovo Intel I3 8gb Ddr4 Ssd 250 Notebook,,buy_it_now,Garantía del vendedor: 12 meses,MLA1652,Buenos Aires,52450785,MLA-NOTEBOOKS,26,MLA874052902,63.0,silver,107.0,16.0,0.0,0.97,0.03,5_green,WINTER SOFT,normal,Lenovo IdeaPad 3 15IIL05,MLA-NOTEBOOKS
6,6,Lenovo Ideapad,68999,2020-08-07T10:33:22.000Z,Argentina,gold_special,active,MLA15280170,54999.0,MLA872154158,"['extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",54999.0,True,200,0.87,new,1,Notebook Lenovo A6 9225 4gb 1tb 15.6 Pulgadas Amd Radeon R4,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,174556876,MLA-NOTEBOOKS,236,MLA872154158,214.0,platinum,408152.0,27763.0,0.03,0.94,0.03,5_green,OVERHARD DIGITAL,normal,Lenovo IdeaPad 330-15AST,MLA-NOTEBOOKS
7,7,Lenovo Ideapad,,2020-10-30T18:25:04.000Z,Argentina,gold_special,active,MLA16029713,62899.0,MLA886159618,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",62899.0,True,25,0.87,new,1,Notebook Lenovo Intel Pentium 4gb Ram 128gb Ssd Windows 10,,buy_it_now,Garantía de fábrica: 6 meses,MLA1652,Capital Federal,25704919,MLA-NOTEBOOKS,49,MLA886159618,49.0,platinum,46992.0,5508.0,0.01,0.96,0.03,5_green,ELECTRO-SHOWS,normal,Lenovo IdeaPad 1 14IGL05,MLA-NOTEBOOKS
8,8,Lenovo Ideapad,,2020-11-27T17:59:00.000Z,Argentina,gold_special,active,MLA16240087,47899.0,MLA899071712,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",47899.0,True,5,0.87,new,1,Notebook Lenovo S145 Intel Celeron N4000 15.6 4gb 1tb Oferta,,buy_it_now,Garantía de fábrica: 6 meses,MLA1652,Córdoba,158169010,MLA-NOTEBOOKS,21,MLA899071712,23.0,platinum,4429.0,360.0,0.01,0.98,0.01,5_green,COATI DIGITAL,normal,Lenovo IdeaPad S145-15IKB - Granite black - 4 GB - 1 TB - 1366 px x 768 px - Intel UHD Graphics 600 - Intel - Celeron - N4000 - FreeDOS,MLA-NOTEBOOKS
9,9,Lenovo Ideapad,,2020-12-15T20:39:48.000Z,Argentina,gold_pro,active,MLA15698354,106999.0,MLA901192463,"['good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'immediate_payment', 'cart_eligible']",106999.0,True,25,1.0,new,1,Notebook Lenovo Intel Core I5 8g 1tb Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,45,MLA901192463,,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad S145-15IIL - Platinum gray - 8 GB - 1 TB - 1366 px x 768 px - Intel Iris Plus Graphics - Intel - Core i5 - 1035G4 - Windows - 10 - Home,MLA-NOTEBOOKS
10,10,Lenovo Ideapad,,2020-12-21T17:34:39.000Z,Argentina,gold_special,active,MLA15738290,74999.0,MLA901847314,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'immediate_payment', 'cart_eligible']",74999.0,True,5,0.87,new,1,Notebook Lenovo Amd Ryzen 3 8gb 256ssd Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,55,MLA901847314,,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad S340-15API,MLA-NOTEBOOKS
11,11,Lenovo Ideapad,,2020-10-19T16:15:53.000Z,Argentina,gold_special,active,MLA16041756,89999.0,MLA884489286,"['loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",89999.0,True,25,0.8,new,1,"Notebook Lenovo Ideapad 3 I3 10ma 15,6 8gb 256gb Ssd Tactil",,buy_it_now,Garantía de fábrica: 6 meses,MLA1652,Capital Federal,193659561,MLA-NOTEBOOKS,66,MLA884489286,88.0,platinum,6784.0,388.0,0.01,0.98,0.01,5_green,JFS TECH,normal,Lenovo IdeaPad 3 15IIL05,MLA-NOTEBOOKS
12,12,Lenovo Ideapad,79500,2020-09-04T15:53:33.000Z,Argentina,gold_special,active,MLA15349660,63000.0,MLA876774404,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",63000.0,True,5,0.75,new,1,Notebook Lenovo Ideapad Slim 14p Amd A4 4gb 64gb Windows 10,,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Capital Federal,15096445,MLA-NOTEBOOKS,25,MLA876774404,11.0,platinum,66309.0,4294.0,0.01,0.98,0.01,5_green,TECNOLIFE ARG,normal,Lenovo IdeaPad Slim 1 1-14AST-05,MLA-NOTEBOOKS
13,13,Lenovo Ideapad,107999,2020-12-04T14:21:46.000Z,Argentina,gold_special,active,MLA16041756,99999.0,MLA899930093,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",99999.0,True,5,0.87,new,100,Notebook Lenovo Intel Core I5 8gb 256ssd Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,149,MLA899930093,28.0,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad 3 15IIL05,MLA-NOTEBOOKS
14,14,Lenovo Ideapad,84999,2020-12-15T20:39:49.000Z,Argentina,gold_pro,active,MLA15698353,79999.0,MLA901192962,"['good_quality_picture', 'good_quality_thumbnail', 'loyalty_discount_eligible', 'brand_verified', 'extended_warranty_eligible', 'immediate_payment', 'cart_eligible']",79999.0,True,5,1.0,new,50,Notebook Lenovo Intel Core I3 4gb 256ssd Windows 10,1938,buy_it_now,Garantía de fábrica: 12 meses,MLA1652,Buenos Aires,608846165,MLA-NOTEBOOKS,101,MLA901192962,19.0,platinum,190532.0,8516.0,0.03,0.9,0.07,5_green,ELECTRONICAFLA,brand,Lenovo IdeaPad S145-15IIL,MLA-NOTEBOOKS
