,product,buying_mode,title,start_time,seller_address.country.name,status,seller_address.state.name,tags,available_quantity,listing_type_id,catalog_product_id,condition,warranty,id,accepts_mercadopago,sold_quantity,category_id,original_price,price,base_price,domain_id,official_store_id,seller_id,initial_quantity,health,item_id,reviews_rating_levels.one_star,reviews_rating_levels.five_star,reviews_rating_levels.three_star,reviews_paging.total,reviews_rating_average,reviews_rating_levels.four_star,reviews_rating_levels.two_star
0,Dell Vostro,buy_it_now,Notebook Laptop Dell Vostro I5 8gb 1tb 14 Win 10pro Teclado Con Ñ Gtia De Tienda Oficial - Factura A / B,2017-04-21T19:18:22.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,,new,Garantía de fábrica: 1 años,MLA663213659,True,25,MLA1652,192848,117999.0,117999.0,MLA-NOTEBOOKS,69,179571326,288,0.9,MLA663213659,0.0,12.0,2.0,30.0,4.3,15.0,1.0
1,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 8g 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:15:14.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA16639105,new,,MLA897947872,True,0,MLA1652,,151898.0,151898.0,MLA-NOTEBOOKS,69,179571326,17,0.9,MLA897947872,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 12g 1tb + 240ssd  Ubuntu Ñ,2020-11-19T18:01:50.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897942832,True,0,MLA1652,132999,118199.0,118199.0,MLA-NOTEBOOKS,69,179571326,12,0.8,MLA897942832,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6  8g 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:27.000Z,Argentina,active,Capital Federal,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897766169,True,1,MLA1652,,94356.93,94356.93,MLA-NOTEBOOKS,69,179571326,5,0.75,MLA897766169,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,Dell Vostro,buy_it_now,Notebook Dell Vostro 3480 I3 8gb 1tb Windows 10 14 Pulgadas,2020-07-09T18:26:44.000Z,Argentina,active,Capital Federal,"['brand_verified', 'extended_warranty_eligible', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15272577,new,Garantía de fábrica: 6 meses,MLA867240912,True,5,MLA1652,,84999.0,84999.0,MLA-NOTEBOOKS,,203804413,42,0.8,MLA867240912,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 8g 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:17:26.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897946944,True,0,MLA1652,133999,118499.0,118499.0,MLA-NOTEBOOKS,69,179571326,23,0.8,MLA897946944,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 12g 1tb + 480ssd Ubuntu  Ñ,2020-11-19T18:45:02.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897956071,True,0,MLA1652,118999,101199.0,101199.0,MLA-NOTEBOOKS,69,179571326,13,0.8,MLA897956071,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Dell Vostro,buy_it_now,"Notebook Dell Vostro I5 8gb Ssd 256gb 13,3 Fhd Cuotas",2019-11-24T00:05:28.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_pro,MLA15504025,new,Garantía de fábrica: 1 años,MLA826943825,True,2,MLA1652,302407,194999.0,194999.0,MLA-NOTEBOOKS,69,179571326,4,0.9,MLA826943825,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,Dell Vostro,buy_it_now,"Notebook Dell Vostro I7 10ma 8gb Ssd Radeon610 Win10pro 15,6",2020-06-22T18:36:12.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,Garantía de fábrica: 6 meses,MLA863767834,True,5,MLA1652,,154999.0,154999.0,MLA-NOTEBOOKS,,9198894,14,0.9,MLA863767834,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,Dell Vostro,buy_it_now,"Notebook Dell Vostro I5 8gb Ssd 256gb 13,3 Fhd Win10 Pro",2018-10-11T14:44:23.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15504025,new,Garantía de fábrica: 1 años,MLA752633968,True,2,MLA1652,241925,155899.0,155899.0,MLA-NOTEBOOKS,69,179571326,8,0.8,MLA752633968,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6 12g 1tb + 480ssd  Ubuntu Ñ,2020-11-19T18:17:56.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897945782,True,0,MLA1652,135999,120899.0,120899.0,MLA-NOTEBOOKS,69,179571326,21,0.8,MLA897945782,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,Dell Vostro,buy_it_now,Dell Vostro I7 10510u 10gen 512 Gb Ssd 24gb Ram Nvidia Mx250,2020-10-15T21:38:35.000Z,Argentina,active,Córdoba,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15737996,new,Garantía del vendedor: 12 meses,MLA884086980,True,0,MLA1652,,199990.0,199990.0,MLA-NOTEBOOKS,,98554898,2,0.75,MLA884086980,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,Dell Vostro,buy_it_now,Notebook Dell Vostro 5490 I5 10°- 8gb- 250 Gb Ssd- W10p ,2020-08-24T17:10:37.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA15247974,new,Garantía de fábrica: 1 años,MLA874909187,True,4,MLA1652,,158002.91,158002.91,MLA-NOTEBOOKS,,13869180,10,0.8,MLA874909187,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,Dell Vostro,buy_it_now,Notebook Dell Vostro I5 15.6  8gb 1tb Ubuntu Teclado Con Ñ,2020-11-18T18:15:30.000Z,Argentina,active,Capital Federal,"['good_quality_picture', 'good_quality_thumbnail', 'brand_verified', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897766175,True,0,MLA1652,123999,112999.0,112999.0,MLA-NOTEBOOKS,69,179571326,5,0.75,MLA897766175,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Dell Vostro,buy_it_now,Notebook Dell Vostro I3 15.6 12gb 1tb + 240ssd Ubuntu Ñ,2020-11-19T18:29:22.000Z,Argentina,active,Capital Federal,"['brand_verified', 'good_quality_picture', 'good_quality_thumbnail', 'immediate_payment', 'cart_eligible']",1,gold_special,MLA16639105,new,,MLA897952230,True,0,MLA1652,116999,98599.0,98599.0,MLA-NOTEBOOKS,69,179571326,12,0.8,MLA897952230,0.0,0.0,0.0,0.0,0.0,0.0,0.0
